match_id,batsman,runs_scored,balls_faced,strike_rate,venue,venue_avg,career_avg,last5_avg
829779,AB de Villiers,21,14.0,150.0,"MA Chidambaram Stadium, Chepauk",20.1,26.802325581395348,32.2
829785,AB de Villiers,47,24.0,195.83333333333331,M Chinnaswamy Stadium,19.957247132429615,26.735632183908045,28.2
829795,AB de Villiers,133,59.0,225.42372881355934,Wankhede Stadium,19.74621549421193,26.96590909090909,34.8
829803,AB de Villiers,10,9.0,111.11111111111111,"Punjab Cricket Association Stadium, Mohali",19.662264150943397,28.15730337078652,52.0
829807,AB de Villiers,0,1.0,0.0,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,27.955555555555556,42.6
829819,AB de Villiers,66,38.0,173.6842105263158,Maharashtra Cricket Association Stadium,20.575384615384614,27.64835164835165,42.2
829821,AB de Villiers,1,3.0,33.33333333333333,JSCA International Stadium Complex,18.807692307692307,28.065217391304348,51.2
980907,AB de Villiers,82,42.0,195.23809523809524,M Chinnaswamy Stadium,19.957247132429615,27.774193548387096,42.0
980921,AB de Villiers,55,33.0,166.66666666666669,M Chinnaswamy Stadium,19.957247132429615,28.351063829787233,31.8
980927,AB de Villiers,29,21.0,138.0952380952381,Wankhede Stadium,19.74621549421193,28.63157894736842,40.8
980931,AB de Villiers,83,46.0,180.43478260869566,Maharashtra Cricket Association Stadium,20.575384615384614,28.635416666666668,46.6
980937,AB de Villiers,20,16.0,125.0,Saurashtra Cricket Association Stadium,22.84285714285714,29.195876288659793,50.0
980953,AB de Villiers,47,32.0,146.875,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,29.102040816326532,53.8
980959,AB de Villiers,4,6.0,66.66666666666666,M Chinnaswamy Stadium,19.957247132429615,29.282828282828284,46.8
980969,AB de Villiers,1,3.0,33.33333333333333,M Chinnaswamy Stadium,19.957247132429615,29.03,36.6
980977,AB de Villiers,64,35.0,182.85714285714286,"Punjab Cricket Association IS Bindra Stadium, Mohali",22.926174496644297,28.752475247524753,31.0
980981,AB de Villiers,24,27.0,88.88888888888889,M Chinnaswamy Stadium,19.957247132429615,29.098039215686274,27.2
980987,AB de Villiers,129,52.0,248.0769230769231,M Chinnaswamy Stadium,19.957247132429615,29.04854368932039,28.0
980995,AB de Villiers,59,31.0,190.3225806451613,Eden Gardens,19.843501326259947,30.009615384615383,44.4
980999,AB de Villiers,0,2.0,0.0,M Chinnaswamy Stadium,19.957247132429615,30.285714285714285,55.4
981011,AB de Villiers,6,8.0,75.0,Shaheed Veer Narayan Singh International Stadium,20.54320987654321,30.0,55.2
981013,AB de Villiers,79,47.0,168.08510638297872,M Chinnaswamy Stadium,19.957247132429615,29.77570093457944,43.6
981019,AB de Villiers,5,6.0,83.33333333333334,M Chinnaswamy Stadium,19.957247132429615,30.23148148148148,54.6
1082598,AB de Villiers,89,46.0,193.47826086956522,Holkar Cricket Stadium,22.418032786885245,30.0,29.8
1082602,AB de Villiers,19,21.0,90.47619047619048,M Chinnaswamy Stadium,19.957247132429615,30.536363636363635,35.8
1082607,AB de Villiers,29,30.0,96.66666666666667,M Chinnaswamy Stadium,19.957247132429615,30.43243243243243,39.6
1082617,AB de Villiers,8,6.0,133.33333333333331,Eden Gardens,19.843501326259947,30.419642857142858,44.2
1082621,AB de Villiers,5,11.0,45.45454545454545,M Chinnaswamy Stadium,19.957247132429615,30.221238938053098,30.0
1082624,AB de Villiers,3,8.0,37.5,Maharashtra Cricket Association Stadium,20.575384615384614,30.0,30.0
1082628,AB de Villiers,43,27.0,159.25925925925927,Wankhede Stadium,19.74621549421193,29.765217391304347,12.8
1082633,AB de Villiers,10,6.0,166.66666666666669,M Chinnaswamy Stadium,19.957247132429615,29.879310344827587,17.6
1082636,AB de Villiers,10,8.0,125.0,M Chinnaswamy Stadium,19.957247132429615,29.70940170940171,13.8
1136563,AB de Villiers,44,23.0,191.30434782608697,Eden Gardens,19.843501326259947,29.54237288135593,14.2
1136568,AB de Villiers,57,40.0,142.5,M.Chinnaswamy Stadium,21.37991266375546,29.66386554621849,22.0
1136571,AB de Villiers,20,18.0,111.11111111111111,M.Chinnaswamy Stadium,21.37991266375546,29.891666666666666,32.8
1136574,AB de Villiers,1,2.0,50.0,Wankhede Stadium,19.74621549421193,29.8099173553719,28.2
1136579,AB de Villiers,90,39.0,230.76923076923075,M.Chinnaswamy Stadium,21.37991266375546,29.57377049180328,26.4
1136584,AB de Villiers,68,30.0,226.66666666666666,M.Chinnaswamy Stadium,21.37991266375546,30.065040650406505,42.4
1136595,AB de Villiers,1,4.0,25.0,Maharashtra Cricket Association Stadium,20.575384615384614,30.370967741935484,47.2
1136599,AB de Villiers,5,8.0,62.5,Rajiv Gandhi International Stadium,18.809322033898304,30.136,36.0
1136605,AB de Villiers,72,37.0,194.5945945945946,Arun Jaitley Stadium,20.91826923076923,29.936507936507937,33.0
